amaritudo	f
amaror	m
amaryllis_n	f
amasenus_n	???
amasis_n	m
amasiuncula	f
amasiunculus	m
amasius	m
amastriani_n	???
amastrus_n	m
amata_n	f
amathusia_n	f
amatio	f
amator	m
amatorium	n
amatrix	f
amazonis_n	f
amazon_n	f
ambactus	m
ambages	f
ambarri_n	*
ambestrix	f
ambiani_n	*
ambibarii_n	*
ambiguitas	f
ambiguum	n
ambiliati_n	*
ambiorix_n	m
ambitio	
ambitio_n	
ambitus	m
ambiuareti_n	*
ambiuius_n	*
ambracia_n	f
ambraciotes_n	f
ambrosia	f
ambrosius_n	*
ambubaia	f
ambulatio	f
ambulator	m
ambulatrix	f
ameana_n	2
amedines_n	m
amellus	???
amentia	f
amentum	n
ameria_n	f
amerini_n	???
ames	m
amestratini_n	???
amestratus_n	f
amethystina	n
amethystus	*
amica	f
amicitia	f
amicities	f
amictus	m
amicula	f
amiculum	n
amiculus	m
amicus_1	m
amiseni_n	*
amisia_n	f
amissio	f
amissus_n	m
amisus_n	m
amita	f
ammius_n	*
ammon_n	m
amnis	m
amoena	f
amoenitas	f
amomum	n
amor	m
amorgus_n	2
amor_n	m
amphaeus_n	m
amphiaraus_n	m
amphictyones_n	m
amphilochia_n	f
amphilochi_n	*
amphilochus_n	m
amphion_n	???
amphipolis_n	f
amphiteatrum	n
amphitheater	m
amphitheatrum	n
amphitryoniades_n	m
amphitryon_n	m
amphora	f
amphoterus_n	m
amphrysus_n	m
ampius_n	*
ampla	f
amplexus	m
amplificatio	f
amplitudo	f
amplius	neutre
ampsanctus_n	m
ampsiuarii_n	*
ampulla	f
amputatio	f
amulius_n	*
amullius_n	4
amurca	f
amyclae_n	f
amycus_n	m
amydon_n	f
amygdalum	n
amylum	???
amyntas_n	m
amyntor_n	m
amystis	f
anabathrum	n
anacharsis_n	m
anadema	n
anagnia_n	f
anagnini_n	*
anagnostes	m
analecta	m
analogia	f
anapaestus	*
anapus_n	m
anartes_n	2
anas_1	m
anathymiasis	f
anaticula	f
anatina	f
anaxagoras_n	m
anaxarchus_n	m
ana_n	m
ancaeus_n	m
ancalites_n	m
anceps_1	*
ancharius_n	*
anchemolus_n	m
anchises_n	m
ancile	n
ancile	n
ancilla	f
ancillariolus	m
ancillula	f
ancona_n	f
ancora	f
ancus_n	m
ancyra_n	f
andania_n	f
andecaui_n	*
andecumborius_n	m
andes_n	m
andria_n	m
androgeus_n	m
andromacha_n	f
andromachus_n	m
andromeda_n	f
andromenes_n	m
andronicus_n	*
andron_n	m
androsthenes_n	m
andrus_n	2
anellus	m
anethum	???
anfractus_1	m
angellus	m
angina	f
angiportum	n
angiportus	m
angitia_n	f
anglii_n	*
angor	m
angriuarii_n	*
anguilla	f
anguis	*
anguis_n	*
angulus	m
angustia	f
angustum	n
anhelitus	m
anicetus_n	*
anicius_n	*
anicula	f
anien_n	m
anilitas	f
anima	f
animaduersio	f
animaduersor	m
animal	n
animans_1	???
animulus	m
animus	m
anio_n	m
anisum	n
anius_n	*
annaea_n	???
annaeus_n	*
annalis_1	2
annalis_n	2
anna_n	f
annexus	m
annia_n	???
annicerii_n	m
annius_n	*
annona	f
annotatio	f
annotator	m
annus	m
annus_n	m
annuum	n
anquillaria_n	f
ansa	f
anser	m
anser_n	m
antaeus_n	m
antandrus_n	f
antecessio	f
antecessor	m
antecursor	m
antegua_n	2
anteia_n	2
anteius_n	???
antemnae_n	f
antemna_n	f
antenna	???
antenoridae_n	m
antenor_n	m
antepagmentum	n
antes	m
antescholanus	m
antesignanus_1	m
anthrax_n	m
anthropinus_n	m
anticato_n	m
anticyra_n	f
antigenes_n	m
antigone_n	f
antigonus_n	m
antilochus_n	m
antimachus_n	m
antinous_n	m
antiochenses_n	???
antiochia_n	f
antiochus_n	m
antiopa_n	f
antiope_n	f
